ResponseId,LocationLatitude,LocationLongitude,condition,openQ,valence,metaphor,likert,covertness,attention,association,paraphrase,politicalView,gender,immigration,language#1_1_1,Q36,textblob_polarity,negative,neutral,positive,roberta_sentiment,positive_z,likert_z,paraphrase_negative,paraphrase_neutral,paraphrase_positive,paraphrase_sentiment,paraphrase_similarity,paraphrase_similarity_groups
R_3lVJS9mk7o2Togh,35.48379517,-80.60310364,flood,Immigration has helped Addison economically.  There is probably no shortage of labor.,positive,,10,False,increase,huge increase,There has been a huge increase of immigrant labor in the last three years in Addison.,Independent,Female,BornInUS,English,United States,0.3,0.009782597,0.22316368,0.7670538,positive,0.37180728,1.034076477368498,0.06284928,0.66711193,0.27003875,neutral,0.8258847,medium
R_u4vXBZWJx0MujXb,38.80290222,-77.21160126,flood,all of the low skill manual labor jobs have been filled by immigrants. it has probably put more local natives out of work,negative,fill (container),3,False,increase,an overwhelming number,there has been a large amount of immigrant labor coming to Addison.,Independent,Male,BornInUS,English,USA,0.225,0.64664716,0.32019126,0.0331616,negative,-1.7311351,-1.890077919622292,0.06725299,0.85433877,0.078408174,neutral,0.8380433,medium
R_3NFnPVLfLTttU2f,33.69880676,-78.91600037,invasion,Alot of cheap labor is available.  Probably most of them are claiming welfare and draining the area of their resourses. ,negative,drain,1,False,increase,taking over,In the last three years the city has been taken over with immigrants destroying the town and decreasing property values. ,Republican,Female,BornInUS,English,USA,0.43333333333333335,0.57742935,0.37421268,0.048358016,negative,-1.6875902,-2.7255506044768034,0.87980497,0.11011481,0.010080166,negative,0.3614078,low
R_5i1uPLRQdNyZqUx,35.229599,-80.84300232,invasion,Cheap labor has come in. It has taken away local jobs and probably drive wages down.,negative,,2,False,Increase,High influx,The last three years Addison has seen a huge ride in immigrant labor.,Democrat,Female,BornInUS,English,USA,0.08148148148148147,0.83336824,0.15290095,0.013730781,negative,-1.7868135,-2.307814262049548,0.01614048,0.50706196,0.47679752,neutral,0.69685686,low
R_rpyVWpkMjI2yTSN,41.84829712,-87.65170288,flood,Flood has led to the change of economy. If there is flood everything is very bad,negative,,4,False,cant remember,Flood is overflow of water in a particular area,There has been a flood of immigrant labor in the town of  Addison in the past three years,Democrat,Female,BornInUS,English,"USA, Nigeria",-0.9099999999999998,0.87402356,0.118153356,0.0078231525,negative,-1.8037415,-1.4723415771950363,0.24480364,0.69505066,0.06014571,neutral,0.8489413,high
R_20UQ4JDAZsKTHnO,34.7769928,-77.37689972,invasion,Having the number increase from 12 to 40 thousand immigrants in one area most likely causes an influx of people and not enough places for them. Taking space away from those who citizens.,negative,influx,4,False,increase,takeover,"In the last three years, there has been a takeover of immigrant labor in the town of Addison.",Republican,Female,BornInUS,English,United States and Korea,0.16666666666666666,0.69077086,0.28781185,0.021417247,negative,-1.7647882,-1.4723415771950363,0.24823008,0.72529256,0.02647737,neutral,0.82660353,medium
R_3FOSrPrWJRnGc3G,40.69859314,-75.48339844,invasion,I believe if these people are illegal immigrants than it effects our economy in job loss for americans in that community and also legal immigrants. Benefits that are given to illegals take away from the needy there that are actually americans. We will be spending more money to support them and their children and will also be harder to find jobs as they will take some of the jobs away.,negative,,1,False,increase,a lot of immigrants taking jobs,In the last 3 years there has been an large increase of labor by immigrants in the town of Addison,Republican,Female,BornInUS,English,usa,0.02,0.71691334,0.25346407,0.029622594,negative,-1.7412759,-2.7255506044768034,0.04047802,0.827321,0.132201,neutral,0.8446498,high
R_1hVULA7CuoZe9BI,26.62919617,-81.96800232,invasion,I believe this has had a negative effect on the economy. Immigration is something I should be taken serious and they shouldn't be treated an nonhumans.,negative,,2,False,increase,unwelcome intrusion,There has been an increase of immagrant labor in the town of Addison in the last three years,Democrat,Female,BornInUS,English,USA,-0.31666666666666665,0.9245222,0.07178117,0.0036965548,negative,-1.8155662,-2.307814262049548,0.32029817,0.6464742,0.03322768,neutral,0.75709903,low
R_3IPE9KVwnFFHHqB,42.64019775,-85.29730225,flood,I think it has had a negative effect. The immigrants are taking jobs from the native people and putting other businesses out of business.,negative,,2,False,increase,An increase in the amount of.,"In the last three years, immigrant labor has increased exponentially in Addison.",Republican,Male,BornInUS,English,USA,-0.2125,0.8872814,0.10808666,0.0046319216,negative,-1.8128859,-2.307814262049548,0.06548454,0.61021584,0.3242996,neutral,0.78785545,low
R_e58XDXl5jdwoFRn,37.29829407,-83.19120026,boost,I think that it has taken jobs and opportunities from local people. I think it's unfair that such an influx of immigrants are able to overtake a town in this way.,negative,,1,False,influx,surge,There has been a surge of immigrants to the town of Addison during the past three years.,Republican,Female,BornInUS,English,USA,0.0,0.8850308,0.10552212,0.009446979,negative,-1.7990885,-2.7255506044768034,0.07133993,0.86974376,0.058916293,neutral,0.82860315,medium
R_3lG2FALBUiv7fg2,42.83560181,-71.09339905,boost,I think that more locals have lost their jobs. They probably had to look for their jobs elsewhere.,negative,,4,False,increase,a rise or influx,The town of Addison has had an influx of immigrant workers join labor force over the past three years.,Republican,Male,BornInUS,English,USA,0.5,0.6525867,0.32092798,0.026485372,negative,-1.7502656,-1.4723415771950363,0.05252147,0.8832662,0.06421227,neutral,0.8297391,medium
R_2Rb3612RW92pa40,33.10620117,-117.2947006,flood,I think that the local economy has stagnated a bit as less work is able to be done. With a lot of the work being given over to immigrants there is less money being being generated into the economy.,negative,,6,False,influx,Many many people all at once,The town of Addison has seen a rapid increase in immigrant labor over the past three years.,Democrat,Male,BornInUS,English,United States,0.04166666666666668,0.76204,0.21748699,0.020473015,negative,-1.7674938,-0.6368688923405249,0.01227168,0.6942472,0.29348114,neutral,0.7903737,low
