StartDate,EndDate,Duration (in seconds),RecordedDate,ResponseId,LocationLatitude,LocationLongitude,condition,openQ,valence,metaphor,likert,covertness,attention,association,paraphrase,politicalView,gender,immigration,immigrationStatus_1,immigrationStatus_8,immigrationStatus_2,language#1_1_1,language#1_1_2,language#1_1_3,language#1_2_1,language#1_2_2,language#1_2_3,language#1_3_1,language#1_3_2,language#1_3_3,language#1_4_1,language#1_4_2,language#1_4_3,language#1_5_1,language#1_5_2,language#1_5_3,Q36,random
1/16/21 15:07,1/16/21 15:10,207,1/16/21 15:10,R_WfBcoccyPyTsqZP,39.4940033,-80.2220993,invasion,Americans are left without jobs as the increase in immigrants in the workforce has caused lack of jobs for them. Businesses are able to pay them less and save money on employee wages.  It will be rough on the residents who need jobs and are not selected over immigrants.,negative,,3,FALSE,Increase,break in,NA,Republican,Female,BornInUS,Born in the US - US Citizen,,,English,1,5,French,12,2,,,,,,,,,,United States of America ,260796
1/16/21 14:12,1/16/21 14:16,253,1/16/21 14:16,R_2ayBxmVXl5poYU1,42.29640198,-89.08869934,increase,"Because there has been an influx of new people into the local economy without an equal number of jobs, I expect that this would have a slightly negative effect on the economy. Though it's hard to say for sure because so many factors go into the local economy. I think that the immigrants who started businesses of their own would contribute to a healthier economy locally. ",negative,influx,7,FALSE,influx,add,NA,Democrat,Female,BornInUS,Born in the US - US Citizen,,,English,birth,5,,,,,,,,,,,,,United States,847369
1/16/21 16:45,1/16/21 16:50,336,1/16/21 16:50,R_2TzbzzIfdTxG3BW,30.05160522,-95.47070313,boost,"Having more immigrants take jobs there lessens the available jobs for citizens.  It makes sense that the number has risen sharply as this must be a good source of income for those coming to work. This is a positive thing in the sense it adds more cultural diversity to the area, and benefits the immigrants, but I am not too sure if citizen in Addison will all look at it as a positive change. ",negative,,5,FALSE,Increase,Increase,NA,Independent,Female,BornInUS,Born in the US - US Citizen,,,English,1,5,,,,,,,,,,,,,U.S.A only,815225
1/16/21 10:54,1/16/21 10:58,235,1/16/21 10:58,R_3QRS7jqSh1AA3EG,44.09910583,-123.1371002,flood,Horrible. The locals won't find jobs. Those immigrants who can will not pay taxes because have no social security number. They will have too many kids who will bring second generation problems from overcrowding and not being accepted,negative,,1,FALSE,increase,drench ,NA,Democrat,Female,BornInUS,Born in the US - US Citizen,,,English,0,5,,,,,,,,,,,,,USA,505112
1/21/21 15:19,1/21/21 15:22,191,1/21/21 15:22,R_2flAA7FRFmMwDUZ,37.6875,-85.87470245,invasion,I think it has negatively effected the American citizens in the town. The immigrants have taken jobs away from the citizens of Addison. ,negative,,3,FALSE,increase,intrude,NA,Republican,Female,BornInUS,Born in the US - US Citizen,,,English,1,5,,,,,,,,,,,,,UNITED STATES,165019
1/16/21 13:48,1/16/21 13:52,248,1/16/21 13:52,R_3Ehj3YzEUpGadPL,39.47990417,-76.29550171,invasion,I think that is an over abundance of workers concentrated in one area. Some of these workers are probably out of work for a while and need to rely on government help to survive. I think there are some positives but also many negatives in this situation. One person tells another there is work here and before you know it you have too many workers and not enough jobs. ,negative,overabundance,4,FALSE,increase,capture,NA,Republican,Female,BornInUS,Born in the US - US Citizen,,,English,1,5,,,,,,,,,,,,,USA,974695
1/21/21 16:34,1/21/21 16:42,485,1/21/21 16:42,R_3ipMnWFaHRyqhaE,36.05949402,-86.65920258,invasion,I think that maybe they felt accepted by the community and brought in their family members and friends. It would be just similar to colonizing the U.S. in the beginning. ,negative,,6,FALSE,increase,occupy,NA,Independent,Female,BornInUS,Born in the US - US Citizen,,,English,1,5,,,,,,,,,,,,,USA is the only location,612945
1/16/21 16:43,1/16/21 16:49,327,1/16/21 16:49,R_3kntNhiuCzlSApj,44.87690735,-93.25350189,boost,I think that more of the local jobs are going to immigrants. I suspect they may be receiving a lower wage than what an average American would have received for the job. Therefore businesses are probably seeing more profit for themselves and locals are seeing less jobs for themselves.,negative,,5,FALSE,increase,lift,NA,Democrat,Female,BornInUS,Born in the US - US Citizen,,,English,1,5,Russian,10,2,Japanese,14,3,Hindi,18,3,,,,USA,681605
1/21/21 16:35,1/21/21 16:38,159,1/21/21 16:38,R_2ykNLEBJhi95VFi,41.53819275,-72.80079651,invasion,"I think this tends to hurt the economy since now there are an abundance of low skill, low income workers.  It is likely that more people now than a few years ago are on social assistance.",negative,"hurt, abundance",4,FALSE,influx,takeover,NA,Republican,Female,BornInUS,Born in the US - US Citizen,,,English,1,5,,,,,,,,,,,,,United States,181680
1/21/21 16:45,1/21/21 16:51,384,1/21/21 16:51,R_ROWA8XuC1JTWqnT,35.98429871,-77.95950317,invasion,Immigrants are taking over a lot of the jobs in Addison.  This has a possibly negative affect on the other residents of this town.,negative,,3,FALSE,increase,intrusion,NA,Republican,Female,BornInUS,Born in the US - US Citizen,,,English,Birth,Fluent,,,,,,,,,,,,,USA,810936
1/21/21 16:20,1/21/21 16:24,248,1/21/21 16:24,R_SCqbmdqQRFXTwo9,38.37460327,-97.67299652,invasion,"Immigrants have changed from farming to other types of jobs like restaurants. The number of workers has grown from 12000 to 40000, which may mean less jobs for people that are legal.",negative,,1,FALSE,increase,capture ,NA,Independent,Female,BornInUS,Born in the US - US Citizen,,,English,2,5,,,,,,,,,,,,,United States,124742
1/17/21 8:03,1/17/21 8:07,218,1/17/21 8:07,R_3jYvOVFYYFOFtvC,40.69940186,-73.88829803,invasion,Increase of immigration decreases the job chances for the native americans and us citizens. we should be aware of it to take the necessary steps,negative,,3,FALSE,Increase,occupation,NA,Democrat,Female,BornInUS,Born in the US - US Citizen,,,English,1,4,-,--,--,-,-,-,-,-,-,-,-,-,United states,129400
1/17/21 17:42,1/17/21 17:47,309,1/17/21 17:47,R_3MAusk5iZM1wG11,33.74850464,-84.38710022,boost,It could be helpful for the economy. It could also be hurting the locals by reducing the number of jobs available.,negative,,5,FALSE,increase,help,NA,Republican,Female,BornInUS,Born in the US - US Citizen,,,English,1,5,,,,,,,,,,,,,United States,135745
1/16/21 11:38,1/16/21 11:42,229,1/16/21 11:42,R_2Pe92c5xjbpUjXi,39.83670044,-88.94280243,flood,it has been negative because americans can't even get jobs. Low paying jobs will not help the economy ,negative,,1,FALSE,increase,deluge,NA,Republican,Female,BornInUS,Born in the US - US Citizen,,,English,0,5,spanish,8,3,,,,,,,,,,united states,219529
1/17/21 14:20,1/17/21 14:23,166,1/17/21 14:23,R_zd15ALSk3XbtYyt,40.17779541,-77.23280334,invasion,it has made getting jobs more difficult for the locals. It may also effect the wages for that area. ,negative,,3,FALSE,increase,takeover,NA,Republican,Female,BornInUS,Born in the US - US Citizen,,,English,1,5,,,,,,,,,,,,,United States,492883
1/17/21 16:45,1/17/21 16:47,133,1/17/21 16:47,R_3MbrnM7odVKjnme,46.4151001,-84.28540039,invasion,It increases the number of low paid workers greatly. This puts strain on city services and schools without increasing the tax base.,negative,strain,1,FALSE,increase,attack,NA,Independent,Female,BornInUS,Born in the US - US Citizen,,,English,1,5,,,,,,,,,,,,,USA,864429
1/17/21 16:46,1/17/21 16:57,666,1/17/21 16:57,R_BGiBoZ4x7l8mpDH,33.65640259,-117.824501,boost,"It sounds like the immigrants have taken many of the agriculture type jobs.  Since they have also expanded their range of work into small business' as well, I believe that the non-immigrant business owners will be subject to greater competition as well as economic shifts leading to higher availability to goods & services possibly decreasing demand at their own business'.",negative,expand,3,FALSE,increase,raise,NA,Republican,Female,BornInUS,Born in the US - US Citizen,,,English,Since birth,5,,,,,,,,,,,,,Just the US,967051
1/21/21 15:56,1/21/21 16:00,238,1/21/21 16:00,R_1j7XDlMNrhwcdkg,38.84280396,-77.08999634,boost,"It sounds like there are a lot of migrant workers. They don't appear to be from the town. So people from that town originally likely have less jobs as a result, even though they lived there and build it. ",negative,,5,FALSE,increase,lift,NA,Democrat,Female,BornInUS,Born in the US - US Citizen,,,English,0,5,,,,,,,,,,,,,USA,623706
1/17/21 7:37,1/17/21 7:48,657,1/17/21 7:48,R_2UiqwT1bLqkZMC4,33.89830017,-84.58930206,boost,It would leads to unemployement for American citizens. so the government should take proper steps to control this.,negative,,4,FALSE,Increase,improve,NA,Democrat,Female,BornInUS,Born in the US - US Citizen,,,English,1,5,-,-,-,-,-,-,-,-,-,-,-,-,United States,471879
1/22/21 6:08,1/22/21 6:10,135,1/22/21 6:10,R_25HiL7Xmygrf7co,35.46620178,-97.51679993,boost,Less jobs for americans,negative,,5,FALSE,Increase,upgrade,NA,Independent,Female,BornInUS,Born in the US - US Citizen,,,English,0,5,,,,,,,,,,,,,Usa,201655
1/21/21 15:50,1/21/21 15:53,212,1/21/21 15:53,R_1rwYjkU0QrpoZC2,37.77589417,-90.40709686,flood,people are paying less because the immigrants are doing jobs cheaply. Even the immigrants who own businesses are paying less. White folk would likely move out of the area and crime could increase because the area becomes poorer and poverty is associated with crime.,negative,,3,FALSE,rise,deluge,NA,Democrat,Female,BornInUS,Born in the US - US Citizen,,,English,1 year,5,,,,,,,,,,,,,usa,144399
1/21/21 16:25,1/21/21 16:33,478,1/21/21 16:33,R_231OOJSorF0D5GI,31.18229675,-83.76409912,increase,The change in the local economy has been due to the increase of migrant workers. When they are getting jobs in the community it means that the original local workers are not able to get these jobs. I personally live in a community similar to the one described in the scenario.,negative,,2,TRUE,increase,expand,NA,Republican,Female,BornInUS,Born in the US - US Citizen,,,English,1,5,,,,,,,,,,,,,United States,772506
1/16/21 14:43,1/16/21 14:46,147,1/16/21 14:46,R_3lyRBgWhPhsoeIL,42.96299744,-72.29290009,invasion,The economy has changed for the worse for white people.  They will have less work as a result of all the immigrants coming to Addison and taking all the jobs away.,negative,,1,FALSE,increase,takeover,NA,Democrat,Female,BornInUS,Born in the US - US Citizen,,,English,0,5,,,,,,,,,,,,,United States,834689
