StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,condition,openQ,valence,metaphor,likert,covertness,attention,association,paraphrase,previousParticipatio,politicalView,politicalView_4_TEXT,gender,gender_3_TEXT,immigration,immigrationStatus_1,immigrationStatus_8,immigrationStatus_2,immigrationStatus_6,immigrationStatus_3,immigrationStatus_4,immigrationStatus_5,immigrationStatus_5_TEXT,language#1_1_1,language#1_1_2,language#1_1_3,language#1_2_1,language#1_2_2,language#1_2_3,language#1_3_1,language#1_3_2,language#1_3_3,language#1_4_1,language#1_4_2,language#1_4_3,language#1_5_1,language#1_5_2,language#1_5_3,Q36,random
11/10/21 15:58,11/10/21 16:03,IP Address,65.184.69.197,100,322,TRUE,11/10/21 16:03,R_3lVJS9mk7o2Togh,,,,,35.48379517,-80.60310364,anonymous,EN,I agree to participate,flood,Immigration has helped Addison economically.  There is probably no shortage of labor.,positive,,10,FALSE,increase,huge increase,There has been a huge increase of immigrant labor in the last three years in Addison.,No,Independent,Female,BorninUS,Born in the US - US Citizen,,,,,,,,English,1,5,,,,,,,,,,,,,United States,652490,,
11/10/21 14:28,11/10/21 14:33,IP Address,108.34.215.20,100,323,TRUE,11/10/21 14:33,R_2do9qyItqku7Nn3,,,,,41.83070374,-71.39820099,anonymous,EN,I agree to participate,increase,"There is no context provided that would suggest impact. Did this community have a shortage of people working in certain jobs? Was there a shortage of employment prior to increased immigration? How irresponsible are the local, state, and federal mandates that would protect from exploitation (or allow to be exploited) people working in this community, regardless of whether they were born in the community or migrated there? I cannot know the impact without knowing more than a few numbers and naming industries in which people who have migrated are employed or are business owners.",NA,,6,FALSE,influx,A greater number than previously.,The town of Addison has a larger population than in the past.,No,Independent,Female,BorninUS,Born in the US - US Citizen,,,,,,,,English,0,5,,,,,,,,,,,,,U.S.,634128,,
11/10/21 15:00,11/10/21 15:08,IP Address,198.14.21.54,100,501,TRUE,11/10/21 15:08,R_3g106D74dycqvVm,,,,,40.74879456,-73.98829651,anonymous,EN,I agree to participate,increase,"the reason may be a good environment, good climate and weather, healthy foods, better technology rather than others.",NA,,9,FALSE,1000,count of the persons are improving,People are very likely to immigrate in the town of Addison in the last three years,No,Democrat,Female,BorninUS,Born in the US - US Citizen,,,,,,,,English,47,fluent,,,,,,,,,,,,,"connecticut, alaska, california",586913,,
11/10/21 16:51,11/10/21 16:54,IP Address,74.136.120.181,100,127,TRUE,11/10/21 16:54,R_2xKIsTBgAkyH5vD,,,,,38.19119263,-85.78279877,anonymous,EN,I agree to participate,increase,local economy,NA,,10,FALSE,workers,increase,Addison,No,Democrat,Female,BorninUS,Born in the US - US Citizen,,,,,,,,English,1,5,,,,,,,,,,,,,USA,202736,,
11/10/21 15:12,11/10/21 15:14,IP Address,205.133.127.242,100,74,TRUE,11/10/21 15:14,R_2zuywXmfYnpQC4n,,,,,39.4250946,-81.46130371,anonymous,EN,I agree to participate,flood,I do not know. I am tired. I just need the money. Please,NA,,4,FALSE,increased,water that shouldnt be there,yes sir,No,Republican,Male,BorninUS,Born in the US - US Citizen,,,,,,,,English,1,5,,,,,,,,,,,,,United States,541631,,
11/10/21 14:30,11/10/21 14:44,IP Address,66.187.8.60,100,872,TRUE,11/10/21 14:45,R_1Ky7BneqMeymlqp,,,,,36.8374939,-76.09760284,anonymous,EN,I agree to participate,boost,At that time migration to cities and poverty among the people left behind was a central concern.,NA,,9,FALSE,under,boost,good,No,Independent,Male,BorninUS,Born in the US - US Citizen,,,,,,,,English,3,5,spanish,8,4,french,10,4,,,,,,,us,992893,,
11/10/21 14:28,11/10/21 14:30,IP Address,72.221.115.167,100,121,TRUE,11/10/21 14:30,R_rdP6q63MVoOFEnD,,,,,41.88600159,-71.34570313,anonymous,EN,I agree to participate,boost,that there is robots and all that cool stuff. Apparently people working is too costly now!,NA,,7,FALSE,decrease,increase,lots of new immigrants these last 3 years,No,Independent,Male,BorninUS,Born in the US - US Citizen,,,,,,,,English,baby,5,,,,,,,,,,,,,"USA, China",898489,,
11/10/21 14:52,11/10/21 14:54,IP Address,68.197.47.79,100,155,TRUE,11/10/21 14:54,R_3el5a6DMO5dOiBj,,,,,40.84460449,-74.57489777,anonymous,EN,I agree to participate,boost,"Immigrants have increased from 12,000 to 20,000 in recent years.  The immigrants have begun to open up shops in Addison.",NA,,9,FALSE,increase,Increase in the amount.,There has been an increase in the amount of immigrant labor in the town of Addison over the last three years.,No,Independent,Male,BorninUS,Born in the US - US Citizen,,,,,,,,English,1,5,,,,,,,,,,,,,USA,578732,,
11/10/21 15:02,11/10/21 15:05,IP Address,23.177.176.34,100,203,TRUE,11/10/21 15:05,R_1OZBkmCJFrMGxyk,,,,,37.57310486,-122.0539017,anonymous,EN,I agree to participate,invasion,VERY GOOD ECONMY OUR UNITED STATES,NA,,8,FALSE,MOST,INVESTIFATION,ADDITION,No,Republican,Female,BorninUS,Born in the US - US Citizen,,,,,,,,English,1,27,,,,,,,,,,,,,UNITED STATES,884062,,
11/10/21 15:09,11/10/21 15:33,IP Address,172.58.3.26,100,1468,TRUE,11/10/21 15:33,R_2dFSUlkkr9cCIkA,,,,,33.72239685,-84.52050018,anonymous,EN,I agree to participate,flood,Covid is one thing.  Climate change is another.,NA,,7,FALSE,Increase ,A rapid increase ,Immigrant labor in the town of Addison has increased in the past three years.,No,Democrat,Female,BorninUS,Born in the US - US Citizen,,,,,,,,English,Birth ,5,,,,,,,,,,,,,USA ,816756,,
